freq|lang|isSpecial|baseTerm|hasPlural|hasPossessive|baseFreq|pluralFreq|possessiveFreq
308|EN|0|hard|||308|0|0
307|EN|0|abstain|s||43|264|0
307|PI|0|arahant|s||187|120|0
307|EN|0|merit|s|'s|297|8|2
307|EN|0|wanderer|s|'s|137|164|6
306|EN|0|eight|s||299|7|0
305|EN|0|feel|s||106|199|0
305|EN|0|making|||305|0|0
304|EN|0|respect|s||297|7|0
303|EN|0|despair|s||243|60|0
303|EN|0|goal|s|'s|299|3|1
303|EN|0|meal|s||262|41|0
303|EN|0|realm|s||233|70|0
302|EN|0|along|||302|0|0
302|EN|0|ardent|||302|0|0
300|EN|0|wealth|||300|0|0
299|EN|0|complete|||299|0|0
297|EN|0|alone|||297|0|0
295|EN|0|lie|s||113|182|0
294|EN|0|before|||294|0|0
293|2E|0|cognizable|||293|0|0
292|EN|0|concentrated|||292|0|0
292|EN|0|misconduct|||292|0|0
291|EN|0|faculties|||291|0|0
291|PI|0|vinaya|||291|0|0
290|EN|0|entered|||290|0|0
290|EN|0|occurred|||290|0|0
289|EN|0|bowl|s||255|34|0
288|EN|0|anyone||'s|280|0|8
288|EN|0|old|||288|0|0
287|EN|0|excellent|||287|0|0
287|EN|0|gift|s||154|133|0
286|EN|0|purity||'s|282|0|4
286|EN|0|wise|||286|0|0
285|EN|0|refuge|||285|0|0
284|EN|0|run|s||250|34|0
284|EN|0|sustenance|s||281|3|0
284|EN|0|wish|||284|0|0
283|EN|0|disenchanted|||283|0|0
283|EN|0|stand|s||142|141|0
282|EN|0|established|||282|0|0
282|EN|0|saying|s||279|3|0
282|EN|0|white|||282|0|0
281|EN|0|cut|s||277|4|0
281|EN|0|monastery|||281|0|0
278|EN|0|calm|||278|0|0
278|EN|0|sensation|s||67|211|0
278|EN|0|tactile|||278|0|0
277|EN|0|answer|s||247|30|0
276|EN|0|secluded|||276|0|0
275|EN|0|cease|s||126|149|0
275|EN|0|strength|s||231|44|0
274|EN|0|dispassion|||274|0|0
273|EN|0|wandering|||273|0|0
272|EN|0|lamentation|s|'s|222|49|1
271|EN|0|change|s||251|20|0
271|EN|0|exertion|s||241|30|0
270|EN|0|saw|||270|0|0
270|EN|0|wind|s||237|33|0
269|EN|0|arose|||269|0|0
268|EN|0|talk|s||241|27|0
268|EN|0|ten|s||263|5|0
267|EN|0|grass|||267|0|0
266|EN|0|once|||266|0|0
265|2E|0|heartwood|||265|0|0
262|EN|0|offering|s||58|204|0
262|EN|0|though|||262|0|0
261|EN|0|companion|s||63|198|0
260|EN|0|abiding|s||239|21|0
259|EN|0|left|||259|0|0
259|EN|0|reappear|s||134|125|0
257|EN|0|next|||257|0|0
257|EN|0|welfare|||257|0|0
256|PI|1|mahā|||256|0|0
254|EN|0|act|s||161|93|0
254|EN|0|danger|s||211|43|0
254|EN|0|doing|||254|0|0
254|EN|0|unexcelled|||254|0|0
253|PI|1|anāthapiṇḍika||'s|67|0|186
253|EN|0|re|||253|0|0
252|EN|0|divine|||252|0|0
251|EN|0|media|||251|0|0
250|EN|0|anything|||250|0|0
250|EN|0|fall|s||164|86|0
246|EN|0|around|||246|0|0
246|EN|0|praise|s||236|10|0
246|EN|0|unbound|||246|0|0
245|EN|0|didn't|||245|0|0
245|EN|0|pleasing|||245|0|0
244|EN|0|livelihood|||244|0|0
242|EN|0|type|s||93|149|0
241|EN|0|bright|||241|0|0
241|EN|0|homelessness|||241|0|0
241|EN|0|restraint|||241|0|0
240|EN|0|purified|||240|0|0
239|EN|0|agreeable|||239|0|0
239|EN|0|sensitive|||239|0|0
238|EN|0|us|||238|0|0
236|EN|0|statement|s||219|17|0
236|EN|0|understand|s||221|15|0
236|EN|0|warrior|s||146|90|0
235|EN|0|responded|||235|0|0
234|EN|0|ask|s||204|30|0
234|EN|0|supreme|||234|0|0
233|EN|0|amazing|||233|0|0
233|EN|0|practicing|||233|0|0
232|EN|0|whoever||'s|228|0|4
231|EN|0|flavor|s||72|159|0
231|EN|0|verse|s||130|101|0
231|EN|0|yourself|||231|0|0
229|EN|0|overcome|s||222|7|0
229|EN|0|pay|s||200|29|0
227|EN|0|aroma|s||63|164|0
226|EN|0|eternal|||226|0|0
226|EN|0|transcending|||226|0|0
225|EN|0|assume|s||107|118|0
225|EN|0|found|||225|0|0
224|EN|0|disease|s||197|27|0
224|EN|0|eon|s||95|129|0
224|EN|0|possible|||224|0|0
224|EN|0|realizing|||224|0|0
224|EN|0|theme|s||185|39|0
224|EN|0|year|s||27|197|0
223|EN|0|attend|s||138|85|0
223|EN|0|gratified|||223|0|0
223|EN|0|phenomena|||223|0|0
223|EN|0|whom|||223|0|0
222|EN|0|declare|s||187|35|0
222|EN|0|toward|||222|0|0
221|EN|0|nun|s|'s|122|98|1
221|EN|0|put|s||185|36|0
220|PI|0|jeta||'s|0|0|220
219|EN|0|declared|||219|0|0
219|PI|1|nigaṇṭha|s||150|69|0
218|EN|0|destroyed|||218|0|0
218|EN|0|feet|||218|0|0
218|EN|0|heedful|||218|0|0
218|EN|0|play|s||213|5|0
217|EN|0|astounding|||217|0|0
217|EN|0|middle|||217|0|0
217|EN|0|plane|s||195|22|0
216|EN|0|breathing|||216|0|0
216|EN|0|disappearance|||216|0|0
216|EN|0|foremost|||216|0|0
216|EN|0|hair|s||194|22|0
215|EN|0|affliction|s||199|16|0
215|EN|0|presence|||215|0|0
214|EN|0|attainment|s||172|42|0
214|EN|0|changeable|||214|0|0
214|EN|0|entire|||214|0|0
214|PI|0|sakyan|s|'s|128|83|3
213|EN|0|delighting|||213|0|0
213|EN|0|obsession|s||162|51|0
212|EN|0|stay|s||156|56|0
211|EN|0|confidence|||211|0|0
211|EN|0|follow|s||129|82|0
211|EN|0|subduing|||211|0|0
210|EN|0|fear|s||200|10|0
210|EN|0|practiced|||210|0|0
210|EN|0|whether|||210|0|0
209|EN|0|discerning|||209|0|0
209|EN|0|town|s||167|42|0
207|EN|0|bring|s||89|118|0
207|EN|0|group|s||180|27|0
207|EN|0|nothingness|||207|0|0
206|EN|0|accordance|||206|0|0
206|EN|0|dark|||206|0|0
206|EN|0|enough|||206|0|0
205|EN|0|last|s||203|2|0
205|EN|0|remember|s||185|20|0
205|EN|0|sublime|||205|0|0
204|EN|0|reward|s||154|50|0
203|EN|0|cloth|s||191|12|0
203|EN|0|every|||203|0|0
203|EN|0|little|||203|0|0
201|EN|0|empty|||201|0|0
201|EN|0|instructed|||201|0|0
200|EN|0|also|||200|0|0
200|EN|0|alterable|||200|0|0
200|EN|0|open|s||193|7|0
200|EN|0|strong|||200|0|0
199|EN|0|face|s||150|49|0
199|EN|0|infinite|||199|0|0
199|EN|0|task|s||196|3|0
198|EN|0|full|||198|0|0
198|EN|0|mountain|s||135|63|0
197|EN|0|call|s||153|44|0
197|EN|0|deprivation|||197|0|0
196|EN|0|decline|||196|0|0
195|EN|0|drink|s||166|29|0
194|EN|0|constant|||194|0|0
194|EN|0|father|s|'s|160|21|13
194|EN|0|itself|||194|0|0
193|EN|0|aroused|||193|0|0
193|EN|0|never|||193|0|0
192|EN|0|lodging|s||84|108|0
191|EN|0|based|||191|0|0
191|EN|0|giving|||191|0|0
191|EN|0|homage|||191|0|0
191|EN|0|mas|s||0|191|0
190|EN|0|animal|s||145|45|0
190|EN|0|increase|s||172|18|0
190|EN|0|resolute|||190|0|0
189|EN|0|elder|s||154|35|0
189|EN|0|ocean|s|'s|173|12|4
188|EN|0|listen|s||171|17|0
187|EN|0|formless|||187|0|0
187|EN|0|kind|s||25|162|0
187|EN|0|simply|||187|0|0
186|EN|0|appear|s||109|77|0
186|EN|0|stream|s||174|12|0
186|EN|0|young|||186|0|0
185|EN|0|light|s||182|3|0
184|EN|0|bliss|||184|0|0
184|PI|1|moggallāna||'s|182|0|2
184|EN|0|myself|||184|0|0
183|EN|0|illness|||183|0|0
182|EN|0|allure|||182|0|0
182|EN|0|distinction|s||166|16|0
182|EN|0|flesh|||182|0|0
181|EN|0|appeared|||181|0|0
181|EN|0|attaining|||181|0|0
181|EN|0|proclaim|s||153|28|0
180|EN|0|growth|||180|0|0
180|EN|0|intention|s||169|11|0
180|EN|0|sympathy|||180|0|0
179|EN|0|family|||179|0|0
179|EN|0|often|||179|0|0
179|EN|0|uncertainty|||179|0|0
178|EN|0|acquisition|s||77|101|0
178|EN|0|either|||178|0|0
178|EN|0|existing|||178|0|0
177|EN|0|fulfilled|||177|0|0
177|EN|0|heavenly|||177|0|0
176|EN|0|disagreeable|||176|0|0
176|2E|0|equanimous|||176|0|0
176|EN|0|heightened|||176|0|0
176|EN|0|outer|||176|0|0
176|EN|0|poison|s||174|2|0
176|EN|0|proper|||176|0|0
175|EN|0|defilement|s||121|54|0
175|EN|0|headed|||175|0|0
175|EN|0|heedfulness|||175|0|0
175|EN|0|peace|||175|0|0
174|EN|0|anger|s|'s|172|1|1
174|EN|0|battle|s||154|20|0
174|EN|0|beautiful|||174|0|0
174|EN|0|rain|s||105|69|0
173|EN|0|clan|s||170|3|0
173|EN|0|doctrine|s||143|30|0
173|EN|0|eightfold|||173|0|0
172|EN|0|incapable|||172|0|0
171|EN|0|otherwise|||171|0|0
171|EN|0|realization|s||169|2|0
171|EN|0|return|s||128|43|0
171|EN|0|thousand|s||119|52|0
171|EN|0|wouldn't|||171|0|0
170|EN|0|arrow|s||135|35|0
170|EN|0|deed|s||88|82|0
170|EN|0|deserving|||170|0|0
170|EN|0|leave|s||61|109|0
170|EN|0|returning|||170|0|0
170|EN|0|show|s||123|47|0
169|EN|0|carrying|||169|0|0
169|EN|0|delighted|||169|0|0
169|EN|0|devoted|||169|0|0
169|EN|0|speaking|||169|0|0
168|EN|0|eat|s||119|49|0
168|EN|0|told|||168|0|0
167|EN|0|arrived|||167|0|0
167|EN|0|external|||167|0|0
167|EN|0|most|||167|0|0
165|EN|0|ease|||165|0|0
165|EN|0|los|s||0|165|0
165|EN|0|morning|||165|0|0
165|EN|0|sage|s|'s|154|10|1
164|EN|0|attain|s||85|79|0
164|EN|0|expected|||164|0|0
164|EN|0|goodwill|||164|0|0
164|EN|0|shore|||164|0|0
164|EN|0|yourselves|||164|0|0
163|EN|0|easy|||163|0|0
163|EN|0|superior|s||161|2|0
162|EN|0|direction|s||109|53|0
162|EN|0|else||'s|154|0|8
162|EN|0|hear|s||117|45|0
161|EN|0|fading|||161|0|0
161|EN|0|fool|s|'s|107|52|2
161|EN|0|internally|||161|0|0
159|EN|0|friendly|||159|0|0
159|EN|0|river|s||122|37|0
158|EN|0|fabricated|||158|0|0
158|EN|0|possessed|||158|0|0
158|EN|0|red|||158|0|0
158|EN|0|teaches|||158|0|0
158|EN|0|virtuous|||158|0|0
157|EN|0|behind|||157|0|0
157|EN|0|getting|||157|0|0
157|EN|0|perceiving|||157|0|0
157|PI|1|rājagaha|||157|0|0
156|EN|0|conceit|s||155|1|0
156|EN|0|destined|||156|0|0
156|EN|0|exchange|||156|0|0
